Var1,Var2
143.3333333,-40.16565657
143.3337349,-40.16666667
143.3420875,-40.2
143.3612485,-40.23333333
143.3666667,-40.24914089
143.3808333,-40.26666667
143.3891993,-40.3
143.3992248,-40.33333333
143.4,-40.33449074
143.4235195,-40.36666667
143.4254902,-40.4
143.4333333,-40.42937853
143.4360784,-40.43333333
143.4614719,-40.46666667
143.4666667,-40.47536232
143.4850949,-40.5
143.5,-40.5327381
143.5004016,-40.53333333
143.520614,-40.56666667
143.5333333,-40.58838951
143.5425595,-40.6
143.5610845,-40.63333333
143.5666667,-40.64111111
143.5915584,-40.66666667
143.6,-40.68064516
143.614876,-40.7
143.6333333,-40.72454212
143.6412541,-40.73333333
143.6666667,-40.75825243
143.6756014,-40.76666667
143.7,-40.79267399
143.7072464,-40.8
143.7333333,-40.82553191
143.7410526,-40.83333333
143.7666667,-40.85742574
143.7760943,-40.86666667
143.8,-40.88672316
143.8149206,-40.9
143.8333333,-40.9184127
143.8481132,-40.93333333
143.8666667,-40.9488189
143.888254,-40.96666667
143.9,-40.97505669
143.9261905,-41
143.9333333,-41.008
143.9595041,-41.03333333
143.9666667,-41.03846154
144,-41.0566343
144.013964,-41.06666667
144.0333333,-41.0814433
144.0501558,-41.1
144.0666667,-41.12054264
144.0819444,-41.13333333
144.1,-41.14444444
144.1333333,-41.16382114
144.1371585,-41.16666667
144.1666667,-41.19004329
144.1767544,-41.2
144.2,-41.22355556
144.2083333,-41.23333333
144.2333333,-41.25246377
144.2490385,-41.26666667
144.2666667,-41.28481848
144.2838951,-41.3
144.3,-41.30918803
144.3301333,-41.33333333
144.3333333,-41.33504274
144.3666667,-41.33558776
144.375817,-41.33333333
144.4,-41.32288136
144.4198925,-41.33333333
144.4274011,-41.36666667
144.4288889,-41.4
144.4328918,-41.43333333
144.4333333,-41.43580247
144.4420139,-41.46666667
144.440264,-41.5
144.4465649,-41.53333333
144.4510638,-41.56666667
144.4592814,-41.6
144.4666667,-41.62021858
144.478607,-41.63333333
144.495501,-41.66666667
144.5,-41.68547009
144.5094444,-41.7
144.5203704,-41.73333333
144.5333333,-41.76111111
144.5666667,-41.73547401
144.5914842,-41.76666667
144.5925926,-41.8
144.593765,-41.83333333
144.5904762,-41.86666667
144.6,-41.88333333
144.6153846,-41.9
144.6333333,-41.92287582
144.6432099,-41.93333333
144.6659004,-41.96666667
144.6666667,-41.96786787
144.6932836,-42
144.7,-42.01730769
144.7141243,-42.03333333
144.7294872,-42.06666667
144.7333333,-42.08666667
144.742029,-42.1
144.760771,-42.13333333
144.7654941,-42.16666667
144.7666667,-42.16786325
144.8,-42.18496732
144.8132184,-42.2
144.8199074,-42.23333333
144.8284615,-42.26666667
144.83125,-42.3
144.8333333,-42.3254902
144.8365079,-42.33333333
144.8526882,-42.36666667
144.8604396,-42.4
144.8654167,-42.43333333
144.8666667,-42.43583333
144.8899371,-42.46666667
144.8943683,-42.5
144.8985095,-42.53333333
144.9,-42.53809524
144.9207547,-42.56666667
144.9333333,-42.58131868
144.9485119,-42.6
144.9526042,-42.63333333
144.9460481,-42.66666667
144.9437751,-42.7
144.9382222,-42.73333333
144.9524548,-42.76666667
144.9579861,-42.8
144.9666667,-42.81831502
144.980756,-42.83333333
145,-42.85340502
145.0166667,-42.86666667
145.0333333,-42.88624339
145.0447368,-42.9
145.0604027,-42.93333333
145.0666667,-42.93684211
145.1,-42.95470085
145.1131455,-42.96666667
145.1298137,-43
145.1333333,-43.00435897
145.1666667,-43.01698113
145.1914286,-43.03333333
145.2,-43.03802083
145.2247748,-43.06666667
145.2333333,-43.07818182
145.2533333,-43.1
145.2666667,-43.10784314
145.3,-43.11302083
145.3276596,-43.13333333
145.3333333,-43.13866667
145.352,-43.16666667
145.3666667,-43.17888889
145.4,-43.19425287
145.4123457,-43.2
145.4333333,-43.21259259
145.4666667,-43.22649573
145.4909091,-43.23333333
145.5,-43.23546099
145.5333333,-43.24864865
145.552381,-43.26666667
145.5666667,-43.29607843
145.5684685,-43.3
145.575641,-43.33333333
145.6,-43.36581197
145.6008772,-43.36666667
145.6280193,-43.4
145.6333333,-43.40383944
145.6642857,-43.43333333
145.6666667,-43.43538705
145.7,-43.44333333
145.7333333,-43.4484127
145.7515873,-43.46666667
145.7666667,-43.4761194
145.7937853,-43.5
145.8,-43.50305556
145.8304045,-43.53333333
145.8333333,-43.53762781
145.8606936,-43.56666667
145.8635983,-43.6
145.8666667,-43.60616246
145.9,-43.62651515
145.9058824,-43.63333333
145.9325926,-43.66666667
145.9310469,-43.7
145.9330769,-43.73333333
145.9333333,-43.73372549
145.9666667,-43.74269972
145.9918841,-43.76666667
146,-43.79122807
146.0077519,-43.8
146,-43.81587302
145.9979167,-43.83333333
146,-43.83537037
146.0333333,-43.85208333
