Release_Number,Latitude,Longitude,count,Release_Location
1,-38,148.9147949,671500,-38.0
2,-37,150.1600037,671500,-37.0
3,-36.20000076,150.2451019,671500,-36.2
4,-35.70000076,150.3833008,671500,-35.7
5,-35.09999847,150.8549957,671500,-35.1
6,-33.79999924,151.4167023,671500,-33.8
7,-32,152.8444061,671500,-32.0
8,-31.39999962,153.0957947,671500,-31.4
9,-30.39999962,153.3182068,671500,-30.4
10,-29.39999962,153.7312927,671500,-29.4
11,-28.79999924,153.8036041,671500,-28.8
12,-28.10000038,153.7861023,671500,-28.1
13,-27.29999924,153.6421967,671500,-27.3
